Date,Valeur Liquidative,Performances glissantes Depuis Début d'année,Performances glissantes 1 semaine,Performances glissantes 6 mois,Performances glissantes 1 an,Performances glissantes 2 ans,Performances glissantes 3 ans,Performances glissantes 5 ans,Variation %,weekly_mean,rendement_lag_1,rendement_lag_2,rendement_lag_3,rendement_lag_4,returns,garch_vol,garch_vol_lag_1,garch_vol_lag_2,vol_future_2w
2022-06-17,563.22,4.03,1.55,3.79,0.89,11.28,10.23,18.03,-2.8071854052485246,12291.188,0.2,0.84,0.6,0.01,0.0155,0.005948099792569162,0.005925043269241653,0.005935308834230269,0.007070007072132247
2022-06-24,563.99,3.9,0.14,3.53,0.83,11.22,10.9,17.44,-1.9086356827346496,12056.594000000001,1.55,0.2,0.84,0.6,0.0014000000000000002,0.006662901649737928,0.005948099792569162,0.005925043269241653,0.007023175919767351
2022-07-01,558.39,4.86,0.99,4.86,1.82,9.65,9.75,15.97,-0.779125514220691,11962.658,0.14,1.55,0.2,0.84,0.009899999999999999,0.006288510917568936,0.006662901649737928,0.005948099792569162,0.0028844410203711915
2022-07-08,558.82,4.78,0.08,5.06,1.42,9.75,9.4,14.83,-2.482057081294131,11665.738000000001,0.99,0.14,1.55,0.2,0.0008,0.006159753112344796,0.006288510917568936,0.006662901649737928,0.003950316443020736
2022-07-15,561.04,4.41,0.4,5.43,0.94,9.87,8.57,15.63,0.9522929453755768,11776.83,0.08,0.99,0.14,1.55,0.004,0.006122656551177281,0.006159753112344796,0.006288510917568936,0.003166228039797513
2022-07-22,563.25,4.03,0.39,4.87,0.66,10.26,8.59,16.78,1.2776952711383238,11927.302,0.4,0.08,0.99,0.14,0.0039000000000000003,0.005945707170863811,0.006122656551177281,0.006159753112344796,0.0039274673773310965
2022-07-29,562.02,4.24,0.22,4.91,1.49,10.06,8.21,15.99,-0.9443711578695613,11814.664,0.39,0.4,0.08,0.99,0.0022,0.005875991564854966,0.005945707170863811,0.006122656551177281,0.0068883960397178095
2022-08-05,564.88,3.75,0.51,4.73,1.23,10.26,9.37,16.87,0.4263684519508981,11865.038,0.22,0.39,0.4,0.08,0.0051,0.005917285664626295,0.005875991564854966,0.005945707170863811,0.0058757978181690354
2022-08-12,569.59,2.95,0.83,4.02,0.66,11.17,10.16,17.54,1.4174585871532752,12033.22,0.51,0.22,0.39,0.4,0.0083,0.005844993607599851,0.005917285664626295,0.005875991564854966,0.0015116216457830972
2022-08-19,569.37,2.99,0.04,3.43,0.74,11.09,10.04,17.58,1.2124103107896245,12179.112,0.83,0.51,0.22,0.39,0.0004,0.005884097190803759,0.005844993607599851,0.005917285664626295,0.002947032405658275
